country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Romania,,,,,,,,,,,,,,,,,,,,,,,0.003,,,0.006,,0.107,0.02,,0.025,,,,,,,,,0.08,0.057,0.044,0.035,0.046,0.058,0.067,0.072,0.076,0.057,0.036,0.035,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,,,0.036,0.011,0.017,0.034,0.022,0.013,0.007,0.008,0.007,0.005,0.003,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.772,,,,,0.683,,,,,0.623,,,0.568,,,0.555,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.006,,,,,0.011,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298,,,,,,,,,,0.323,,,,,,,0.345,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,0.679,,,0.566,,,,,,,0.483,,,,0.374,,,,,,0.38,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.062,0.071,0.069,0.066,0.055,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,0.716,,,,,,,,0.522,,,,,,,0.401
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.015,,,,,,,,0.001,0.002,0.002,0.003,0.004,0.004,0.005,0.004,0.003,0.003,0.006,0.007,0.014,,
Slovenia,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456,,,,,,,,0.251,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,,,0.366,,,,0.35,,,,,0.261,,,0.169,,0.165,,,,0.189,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,0.002,,0.005,,0.002,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427,,,,,,,,,
Spain,,,,,,,,,,,,,,0.005,,,,,0.002,,,,,0.005,,,,,0.012,,,,,0.005,,,0.008,0.008,0.008,0.008,0.004,0.005,0.008,0.007,0.011,0.009,0.012,0.008,0.009,0.012,0.007,
Sri Lanka,,,,,,,,,,,,,,,,,,,0.133,,,,,0.087,,,,,0.088,,,,,,,0.083,,,,0.038,,,0.024,,,0.019,,,,0.008,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359,,,,,,,,,,,,,,,,,,,,,0.047,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,,,,,0.127,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,,,,,,0.484,,,,,,,,,0.42,,,,,,,0.284,,
Sweden,0.077,,,,,,,,0.005,,,,,,0.002,,,,,,0.002,,,,,0.002,,,0.002,,,,,0.0,,,0.003,0.004,0.01,0.003,0.004,0.006,0.004,0.005,0.005,0.005,0.006,0.005,0.005,0.003,0.002,
Switzerland,,,,,,,,,,,,,,,,0.007,,,,,,,,,,0.005,,,,,,,,0.0,,0.0,,,,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544,,,,0.308,0.154,,,0.104,,0.047,,,,,,0.048,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,0.721,,,,,,,,,0.86,,,,,,,0.599,,,,0.491,,,,,,0.491,
Thailand,,,,,,,,,,,,,,,0.196,,,,,,,0.143,,0.094,,0.066,,0.032,,0.022,,0.015,0.025,0.025,,0.011,,0.008,,0.007,0.003,0.001,0.002,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,0.47,,,,,,,0.307,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556,,,,,0.542,,,,0.498,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,,,,,0.011,,,,,,0.01,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,0.007,,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,
