Entity,Code,Year,Social expenditure on family (% of GDP) (OECD Stats (2019)),Social expenditure on health (% of GDP) (OECD Stats (2019)),Social expenditure on housing (% of GDP) (OECD Stats (2019)),Incapacity related social expenditures (% of GDP) (OECD Stats (2019)),Old age related social expenditures (% of GDP) (OECD Stats (2019)),Social expenditure on other social policy areas (% of GDP) (OECD Stats (2019)),Social expenditure on survivors (% of GDP) (OECD Stats (2019)),Social expenditure on unemployment (% of GDP) (OECD Stats (2019)),Social expenditure on active labor market policies (% of GDP) (OECD Stats (2019))
Netherlands,NLD,2000,1.455,4.6830001,0.345,3.6760001,4.914,1.656,0.37799999,1.383,1.326
Netherlands,NLD,2005,1.6670001,6.2360001,0.31400001,3.3369999,5.2490001,1.691,0.289,1.45,1.1799999
Netherlands,NLD,2010,1.5650001,6.2470002,0.35499999,3.303,5.7150002,1.398,0.20100001,1.318,1.1109999
Netherlands,NLD,2015,1.455,6.487,0.454,3.4159999,6.1440001,1.247,0.090000004,1.456,0.76599997
New Zealand,NZL,1980,2.122,5.0430002,0.063000001,1.26,6.691,0.214,0.301,0.49200001,0.029999999
New Zealand,NZL,1985,2.2190001,4.256,0.13500001,1.495,7.0799999,0.23999999,0.285,0.597,0.13699999
New Zealand,NZL,1990,2.5120001,5.4580002,0.163,2.77,6.948,0.092,0.28099999,1.829,0.26199999
New Zealand,NZL,1995,2.184,5.3169999,0.60299999,2.5869999,5.388,0.149,0.168,1.101,0.197
New Zealand,NZL,2000,2.6440001,5.7729998,0.80000001,2.585,4.6830001,0.082000002,0.175,1.301,0.19
New Zealand,NZL,2005,2.615,6.539,0.75999999,2.744,4.0339999,0.156,0.145,0.44499999,0.34200001
New Zealand,NZL,2010,3.4119999,7.7259998,0.87599999,2.5469999,4.4180002,0.43200001,0.148,0.56699997,0.30500001
New Zealand,NZL,2015,2.5929999,7.3049998,0.76599997,2.493,4.8759999,0.449,0.063000001,0.34099999,0.32499999
New Zealand,NZL,2016,2.4809999,7.2529998,0.73900002,2.434,4.8699999,0.47999999,0.061999999,0.30899999,0.29100001
New Zealand,NZL,2017,2.49,7.073,0.80699998,2.365,4.789,0.44800001,0.057,0.26899999,0.273
Norway,NOR,1980,1.7819999,4.283,0.40700001,3.355,5.033,0.352,0.55900002,0.35100001,
Norway,NOR,1985,1.85,4.1409998,0.148,3.4219999,5.3800001,0.75800002,0.447,0.47,0.57999998
Norway,NOR,1990,2.6889999,3.875,0.15000001,4.6259999,6.9759998,0.88099998,0.43399999,1.0420001,0.87800002
Norway,NOR,1995,3.477,3.8499999,0.189,4.5560002,6.9520001,0.76800001,0.38699999,1.075,1.22
Norway,NOR,2000,2.9949999,4.3309999,0.16,4.5619998,6.415,0.60600001,0.28999999,0.44499999,0.59899998
Norway,NOR,2005,2.7909999,5.145,0.141,4.3039999,6.2049999,0.62400001,0.29800001,0.52100003,0.72000003
Norway,NOR,2010,3.1459999,5.585,0.147,4.1760001,6.836,0.74299997,0.28600001,0.48800001,0.61900002
Norway,NOR,2015,3.2590001,6.4219999,0.126,4.309,8.5299997,0.82800001,0.266,0.44499999,0.51599997
OECD - Total,,1980,1.439,4.0949998,0.206,2.1210001,4.8390002,0.36899999,0.94,0.588,0.227
OECD - Total,,1985,1.404,4.1700001,0.27399999,2.1240001,5.3280001,0.426,0.98699999,1.043,0.45199999
OECD - Total,,1990,1.534,4.3299999,0.27399999,2.164,5.586,0.588,0.84299999,0.89399999,0.41499999
OECD - Total,,1995,1.6900001,4.54,0.37200001,2.2409999,6.164,0.57599998,0.85000002,1.132,0.54900002
OECD - Total,,2000,1.758,4.6960001,0.28799999,2.052,6.0819998,0.433,0.88,0.74299997,0.48899999
OECD - Total,,2005,1.86,5.2579999,0.30000001,2.079,6.1739998,0.44600001,0.92000002,0.74900001,0.454
OECD - Total,,2010,2.2119999,5.7779999,0.398,2.1199999,7.1149998,0.50199997,0.954,0.99599999,0.53799999
OECD - Total,,2015,1.974,5.3130002,0.31900001,1.927,7.0279999,0.486,0.85500002,0.676,0.44400001
Poland,POL,1990,1.647,3.941,0.048999999,3.28,3.9760001,0.14,1.056,0.003,0.116
Poland,POL,1995,1.036,3.619,0.067000002,5.5440001,7.4039998,0.37200001,1.817,1.599,0.373
Poland,POL,2000,1.181,3.6489999,0.167,3.45,8.4770002,0.114,2.0650001,0.86500001,0.25299999
Poland,POL,2005,1.209,3.9879999,0.125,2.76,9.2449999,0.35800001,2.1210001,0.53299999,0.42199999
Poland,POL,2010,1.335,4.6009998,0.059999999,2.3440001,9.1470003,0.20299999,1.9859999,0.271,0.68000001
Poland,POL,2015,,0.45500001,,,,,,,
Poland,POL,2016,,0.030999999,,,,,,,
Portugal,PRT,1980,0.63800001,2.9890001,0,1.891,3.0580001,0.16,0.62400001,0.273,
Portugal,PRT,1985,0.60000002,2.8729999,0.001,2.0250001,3.2360001,0.27900001,0.79500002,0.271,
Portugal,PRT,1990,0.68699998,3.5799999,0.006,2.2980001,3.987,0.33899999,0.875,0.30000001,0.45899999
Portugal,PRT,1995,0.70300001,4.4260001,0.004,2.3069999,5.9400001,0.47299999,1.21,0.90100002,0.47600001
Portugal,PRT,2000,0.97299999,5.902,0.002,2.237,6.5760002,0.546,1.296,0.62599999,0.61000001
Portugal,PRT,2005,1.181,6.723,0.004,2.1059999,8.6070004,0.736,1.475,1.332,0.64999998
Portugal,PRT,2010,1.385,6.8509998,0.002,1.926,10.345,0.74199998,1.76,1.235,0.66900003
Portugal,PRT,2015,1.196,5.9359999,0.003,1.776,11.568,0.74400002,1.858,0.97899997,0.54900002
Slovakia,SVK,1995,2.4100001,5.605,0,1.99,5.4289999,0.80699998,1.005,0.41999999,0.73699999
Slovakia,SVK,2000,1.969,4.737,0.059999999,2.21,5.5830002,1.119,0.92400002,0.63999999,0.308
Slovakia,SVK,2005,1.898,4.967,0,1.4400001,5.5689998,0.47799999,0.838,0.26199999,0.331
Slovakia,SVK,2010,1.995,5.6100001,0.035,1.826,6.2249999,0.43200001,0.889,0.66500002,0.32300001
Slovakia,SVK,2015,1.979,5.4749999,0.041999999,1.857,6.7620001,0.324,0.86400002,0.35499999,0.197
Slovenia,SVN,2000,2.1270001,5.6739998,0,2.5829999,9.9680004,0.37900001,0.45300001,0.85500002,
Slovenia,SVN,2005,1.904,5.8530002,0.013,2.3629999,9.3610001,0.62900001,0.43799999,0.59100002,0.28099999
